Date,Close
2012-10-1,23.55
2012-10-2,23.62
2012-10-3,23.98
2012-10-4,23.81
2012-10-5,23.31
2012-10-8,22.79
2012-10-9,22.71
2012-10-10,22.89
2012-10-11,22.43
2012-10-12,22.49
2012-10-15,22.67
2012-10-16,23.21
2012-10-17,23.02
2012-10-18,22.59
2012-10-19,21.78
2012-10-22,22.64
2012-10-23,21.91
2012-10-24,22.03
2012-10-25,21.77
2012-10-26,21.57
2012-10-31,21.26
2012-11-1,21.3
2012-11-2,20.6
2012-11-5,20.88
2012-11-6,20.82
2012-11-7,19.93
2012-11-8,19.21
2012-11-9,19.54
2012-11-12,19.39
2012-11-13,19.39
2012-11-14,19.17
2012-11-15,18.77
2012-11-16,18.85
2012-11-19,20.2
2012-11-20,20.03
2012-11-21,20.06
2012-11-23,20.41
2012-11-26,21.05
2012-11-27,20.89
2012-11-28,20.82
2012-11-29,21.05
2012-11-30,20.9
2012-12-3,20.94
2012-12-4,20.57
2012-12-5,19.24
2012-12-6,19.54
2012-12-7,19.04
2012-12-10,18.92
2012-12-11,19.34
2012-12-12,19.25
2012-12-13,18.92
2012-12-14,18.21
2012-12-17,18.53
2012-12-18,19.07
2012-12-19,18.8
2012-12-20,18.63
2012-12-21,18.55
2012-12-24,18.58
2012-12-26,18.32
2012-12-27,18.4
2012-12-28,18.2
2012-12-31,19.01
2013-1-2,19.61
2013-1-3,19.36
2013-1-4,18.82
2013-1-7,18.71
2013-1-8,18.76
2013-1-9,18.47
2013-1-10,18.7
2013-1-11,18.58
2013-1-14,17.92
2013-1-15,17.35
2013-1-16,18.07
2013-1-17,17.95
2013-1-18,17.86
2013-1-22,18.03
2013-1-23,18.36
2013-1-24,16.09
2013-1-25,15.71
2013-1-28,16.07
2013-1-29,16.37
2013-1-30,16.32
2013-1-31,16.27
2013-2-1,16.2
2013-2-4,15.8
2013-2-5,16.35
2013-2-6,16.33
2013-2-7,16.72
2013-2-8,16.96
2013-2-11,17.14
2013-2-12,16.71
2013-2-13,16.68
2013-2-14,16.66
2013-2-15,16.43
2013-2-19,16.43
2013-2-20,16.03
2013-2-21,15.93
2013-2-22,16.1
2013-2-25,15.81
2013-2-26,16.03
2013-2-27,15.88
2013-2-28,15.76
2013-3-1,15.37
2013-3-4,15
2013-3-5,15.4
2013-3-6,15.2
2013-3-7,15.38
2013-3-8,15.42
2013-3-11,15.64
2013-3-12,15.3
2013-3-13,15.3
2013-3-14,15.45
2013-3-15,15.85
2013-3-18,16.28
2013-3-19,16.23
2013-3-20,16.15
2013-3-21,16.17
2013-3-22,16.5
2013-3-25,16.56
2013-3-26,16.47
2013-3-27,16.15
2013-3-28,15.81
2013-4-1,15.32
2013-4-2,15.35
2013-4-3,15.43
2013-4-4,15.28
2013-4-5,15.11
2013-4-8,15.22
2013-4-9,15.25
2013-4-10,15.56
2013-4-11,15.51
2013-4-12,15.35
2013-4-15,14.99
2013-4-16,15.22
2013-4-17,14.39
2013-4-18,14
2013-4-19,13.95
2013-4-22,14.24
2013-4-23,14.5
2013-4-24,14.48
2013-4-25,14.59
2013-4-26,14.9
2013-4-29,15.36
2013-4-30,15.81
2013-5-1,15.69
2013-5-2,15.91
2013-5-3,16.07
2013-5-6,16.45
2013-5-7,16.38
2013-5-8,16.57
2013-5-9,16.31
2013-5-10,16.18
2013-5-13,16.24
2013-5-14,15.85
2013-5-15,15.32
2013-5-16,15.52
2013-5-17,15.47
2013-5-20,15.82
2013-5-21,15.7
2013-5-22,15.76
2013-5-23,15.79
2013-5-24,15.9
2013-5-28,15.77
