Date,Close
27/03/2014,27.85
28/03/2014,27.92
31/03/2014,27.77
1/04/2014,28.28
2/04/2014,28.27
3/04/2014,28.41
4/04/2014,27.08
7/04/2014,26.83
8/04/2014,27.67
9/04/2014,28.13
10/04/2014,26.97
11/04/2014,26.46
14/04/2014,26.55
15/04/2014,26.75
16/04/2014,27.75
17/04/2014,26.73
21/04/2014,26.36
22/04/2014,26.67
23/04/2014,26.27
24/04/2014,26.19
25/04/2014,25.74
28/04/2014,25.79
29/04/2014,26.31
30/04/2014,26.26
1/05/2014,26.49
2/05/2014,26.32
5/05/2014,26.32
6/05/2014,25.69
7/05/2014,25.43
8/05/2014,25.48
9/05/2014,25.87
12/05/2014,26.42
13/05/2014,26.58
14/05/2014,26.26
15/05/2014,25.93
16/05/2014,25.96
19/05/2014,26.37
20/05/2014,26.42
21/05/2014,26.87
22/05/2014,27.18
23/05/2014,27.56
27/05/2014,28.22
28/05/2014,28.01
29/05/2014,27.93
30/05/2014,27.92
2/06/2014,27.62
3/06/2014,27.17
4/06/2014,27.16
5/06/2014,27.62
6/06/2014,27.74
9/06/2014,28.03
10/06/2014,27.95
11/06/2014,27.87
12/06/2014,27.49
13/06/2014,27.51
16/06/2014,27.14
17/06/2014,27.08
18/06/2014,27.59
19/06/2014,27.67
20/06/2014,27.74
23/06/2014,28.17
24/06/2014,28.15
25/06/2014,28.85
26/06/2014,28.72
27/06/2014,28.78
30/06/2014,28.69
1/07/2014,29.05
2/07/2014,29.04
3/07/2014,29.16
7/07/2014,29.03
8/07/2014,28.48
9/07/2014,28.73
10/07/2014,28.48
11/07/2014,28.88
14/07/2014,29.16
15/07/2014,29.16
16/07/2014,29.05
17/07/2014,28.61
18/07/2014,29.67
21/07/2014,29.39
22/07/2014,29.66
23/07/2014,29.72
24/07/2014,29.59
25/07/2014,29.37
28/07/2014,29.45
29/07/2014,29.2
30/07/2014,29.29
31/07/2014,28.5
1/08/2014,28.23
4/08/2014,28.58
5/08/2014,28.18
6/08/2014,28.24
7/08/2014,28.09
8/08/2014,28.36
11/08/2014,28.32
12/08/2014,28.06
13/08/2014,28.66
14/08/2014,28.65
15/08/2014,28.6
18/08/2014,29.03
19/08/2014,29.26
20/08/2014,29.14
21/08/2014,29.09
22/08/2014,29.05
25/08/2014,28.93
26/08/2014,28.81
27/08/2014,28.47
28/08/2014,28.38
29/08/2014,28.5
2/09/2014,28.79
3/09/2014,28.82
4/09/2014,29.02
5/09/2014,29.22
8/09/2014,29.41
9/09/2014,28.97
10/09/2014,29.08
11/09/2014,28.99
12/09/2014,28.7
15/09/2014,28.58
16/09/2014,28.92
17/09/2014,29.16
18/09/2014,29.38
19/09/2014,29.72
22/09/2014,29.29
23/09/2014,28.98
24/09/2014,29.32
25/09/2014,28.67
