Date,Close
2012-10-1,1.94
2012-10-2,1.99
2012-10-3,1.95
2012-10-4,1.96
2012-10-5,1.93
2012-10-8,1.95
2012-10-9,1.89
2012-10-10,1.89
2012-10-11,1.89
2012-10-12,1.84
2012-10-15,1.82
2012-10-16,1.87
2012-10-17,1.92
2012-10-18,1.87
2012-10-19,1.85
2012-10-22,1.86
2012-10-23,1.89
2012-10-24,1.83
2012-10-25,1.83
2012-10-26,1.83
2012-10-31,1.88
2012-11-1,1.95
2012-11-2,1.93
2012-11-5,2.1
2012-11-6,2.08
2012-11-7,2.1
2012-11-8,2.09
2012-11-9,2.02
2012-11-12,2.07
2012-11-13,2.11
2012-11-14,2.09
2012-11-15,2.05
2012-11-16,2.12
2012-11-19,2.19
2012-11-20,2.2
2012-11-21,2.16
2012-11-23,2.14
2012-11-26,2.15
2012-11-27,2.14
2012-11-28,2.22
2012-11-29,2.25
2012-11-30,2.25
2012-12-3,2.31
2012-12-4,2.26
2012-12-5,2.25
2012-12-6,2.26
2012-12-7,2.28
2012-12-10,2.3
2012-12-11,2.35
2012-12-12,2.35
2012-12-13,2.24
2012-12-14,2.25
2012-12-17,2.29
2012-12-18,2.31
2012-12-19,2.31
2012-12-20,2.3
2012-12-21,2.27
2012-12-24,2.29
2012-12-26,2.24
2012-12-27,2.25
2012-12-28,2.21
2012-12-31,2.26
2013-1-2,2.36
2013-1-3,2.32
2013-1-4,2.29
2013-1-7,2.29
2013-1-8,2.25
2013-1-9,2.24
2013-1-10,2.24
2013-1-11,2.19
2013-1-14,2.22
2013-1-15,2.26
2013-1-16,2.27
2013-1-17,2.29
2013-1-18,2.3
2013-1-22,2.35
2013-1-23,2.4
2013-1-24,2.47
2013-1-25,2.47
2013-1-28,2.54
2013-1-29,2.53
2013-1-30,2.5
2013-1-31,2.5
2013-2-1,2.55
2013-2-4,2.52
2013-2-5,2.54
2013-2-6,2.61
2013-2-7,2.63
2013-2-8,2.62
2013-2-11,2.56
2013-2-12,2.53
2013-2-13,2.56
2013-2-14,2.55
2013-2-15,2.47
2013-2-19,2.62
2013-2-20,2.57
2013-2-21,2.34
2013-2-22,2.41
2013-2-25,2.29
2013-2-26,2.3
2013-2-27,2.34
2013-2-28,2.32
2013-3-1,2.31
2013-3-4,2.37
2013-3-5,2.44
2013-3-6,2.51
2013-3-7,2.55
2013-3-8,2.56
2013-3-11,2.61
2013-3-12,2.61
2013-3-13,2.6
2013-3-14,2.46
2013-3-15,2.35
2013-3-18,2.34
2013-3-19,2.34
2013-3-20,2.4
2013-3-21,2.4
2013-3-22,2.44
2013-3-25,2.5
2013-3-26,2.52
2013-3-27,2.54
2013-3-28,2.53
2013-4-1,2.93
2013-4-2,2.96
2013-4-3,2.74
2013-4-4,2.8
2013-4-5,2.76
2013-4-8,2.79
2013-4-9,2.7
2013-4-10,2.79
2013-4-11,2.91
2013-4-12,2.92
2013-4-15,2.89
2013-4-16,3.04
2013-4-17,3.03
2013-4-18,3.13
2013-4-19,3.19
2013-4-22,3.35
2013-4-23,3.4
2013-4-24,3.36
2013-4-25,3.47
2013-4-26,3.41
2013-4-29,3.66
2013-4-30,3.6
2013-5-1,3.55
2013-5-2,3.61
2013-5-3,3.64
2013-5-6,3.97
2013-5-7,3.7
2013-5-8,3.72
2013-5-9,4.63
2013-5-10,5.12
2013-5-13,5.85
2013-5-14,5.55
2013-5-15,5.66
2013-5-16,6.15
2013-5-17,6.1
2013-5-20,6
2013-5-21,5.84
2013-5-22,5.82
2013-5-23,6.18
2013-5-24,6.47
2013-5-28,7.36
2013-5-29,6.98
2013-5-30,7
2013-5-31,6.52
2013-6-3,6.17
2013-6-4,6.32
2013-6-5,6.36
2013-6-6,6.49
2013-6-7,6.8
2013-6-10,6.67
2013-6-11,6.3
2013-6-12,6.52
2013-6-13,6.55
2013-6-14,6.69
2013-6-17,6.81
2013-6-18,6.89
2013-6-19,6.98
2013-6-20,6.71
2013-6-21,6.64
2013-6-24,6.77
2013-6-25,6.83
2013-6-26,7.05
2013-6-27,7.28
2013-6-28,7.16
2013-7-1,7.81
2013-7-2,7.85
2013-7-3,7.68
2013-7-5,8.01
2013-7-8,8.11
2013-7-9,8.23
2013-7-10,8.15
2013-7-11,8.37
2013-7-12,8.66
2013-7-15,8.48
2013-7-16,7.27
2013-7-17,8.02
2013-7-18,7.94
2013-7-19,7.98
2013-7-22,8.16
2013-7-23,8.18
2013-7-24,8.11
2013-7-25,8.27
2013-7-26,8.63
2013-7-29,8.97
2013-7-30,8.78
2013-7-31,8.95
2013-8-1,9.04
2013-8-2,9.2
2013-8-5,9.65
2013-8-6,9.48
2013-8-7,8.95
2013-8-8,10.23
2013-8-9,10.2
2013-8-12,9.83
2013-8-13,9.7
2013-8-14,9.29
2013-8-15,9.31
2013-8-16,9.47
2013-8-19,9.66
2013-8-20,9.97
2013-8-21,9.86
2013-8-22,10.47
2013-8-23,10.79
2013-8-26,10.95
2013-8-27,11.13
2013-8-28,11.1
2013-8-29,11.07
2013-8-30,11.27
2013-9-3,11.26
2013-9-4,11.37
2013-9-5,11.33
2013-9-6,11.13
2013-9-9,10.71
2013-9-10,11.09
2013-9-11,10.9
2013-9-12,11
2013-9-13,11.04
2013-9-16,11.11
2013-9-17,11.08
2013-9-18,11.08
2013-9-19,11.86
2013-9-20,12.23
2013-9-23,12.07
2013-9-24,12.16
2013-9-25,12.35
2013-9-26,12.58
2013-9-27,12.73
2013-9-30,12.89
2013-10-1,12.87
2013-10-2,12.06
2013-10-3,11.55
2013-10-4,12.07
2013-10-7,12.2
2013-10-8,11.65
2013-10-9,11.25
2013-10-10,11.53
2013-10-11,11.91
2013-10-14,11.98
2013-10-15,12.26
2013-10-16,12.24
2013-10-17,12.19
2013-10-18,12.23
2013-10-21,11.51
2013-10-22,11.44
2013-10-23,10.97
2013-10-24,11.54
2013-10-25,11.31
2013-10-28,10.86
2013-10-29,10.96
2013-10-30,10.61
2013-10-31,10.66
2013-11-1,10.81
2013-11-4,11.68
2013-11-5,11.79
2013-11-6,10.08
2013-11-7,9.32
2013-11-8,9.2
2013-11-11,9.65
2013-11-12,9.19
2013-11-13,9.25
2013-11-14,9.17
2013-11-15,9.03
2013-11-18,8.11
2013-11-19,8.41
2013-11-20,8.07
2013-11-21,8.14
2013-11-22,8.09
2013-11-25,8.06
2013-11-26,8.03
2013-11-27,8.46
2013-11-29,8.49
2013-12-2,8.28
2013-12-3,9.65
2013-12-4,9.26
2013-12-5,9.37
2013-12-6,9.16
2013-12-9,9.44
2013-12-10,9.48
2013-12-11,9.31
2013-12-12,9.83
2013-12-13,9.84
2013-12-16,9.86
2013-12-17,10.16
2013-12-18,9.87
2013-12-19,9.38
2013-12-20,9.55
2013-12-23,9.57
2013-12-24,10.09
2013-12-26,10.37
2013-12-27,10.07
2013-12-30,10.16
2013-12-31,10.03
2014-1-2,10.01
2014-1-3,9.97
2014-1-6,9.8
2014-1-7,9.96
2014-1-8,10.09
2014-1-9,9.84
2014-1-10,9.71
2014-1-13,9.29
2014-1-14,10.75
2014-1-15,10.94
2014-1-16,11.4
2014-1-17,11.33
2014-1-21,11.78
2014-1-22,11.9
2014-1-23,12.1
2014-1-24,11.64
2014-1-27,11.31
2014-1-28,11.89
2014-1-29,11.68
2014-1-30,12.19
2014-1-31,12.09
2014-2-3,11.81
2014-2-4,11.92
2014-2-5,11.63
2014-2-6,11.89
2014-2-7,12.44
2014-2-10,13.1
2014-2-11,13.11
2014-2-12,13.02
2014-2-13,13.31
2014-2-14,13.22
2014-2-18,13.58
2014-2-19,12.91
2014-2-20,14
2014-2-21,13.97
2014-2-24,14.51
2014-2-25,16.53
2014-2-26,16.87
2014-2-27,16.84
2014-2-28,16.32
2014-3-3,16.7
2014-3-4,16.99
2014-3-5,16.84
2014-3-6,16.86
2014-3-7,16.41
2014-3-10,15.92
2014-3-11,15.63
2014-3-12,16.1
2014-3-13,15.85
2014-3-14,15.4
2014-3-17,15.6
2014-3-18,16
2014-3-19,15.72
2014-3-20,15.66
2014-3-21,15.26
2014-3-24,14.68
2014-3-25,14.7
2014-3-26,14.2
2014-3-27,13.82
2014-3-28,14.16
2014-3-31,13.9
2014-4-1,14.46
2014-4-2,15.35
2014-4-3,15.03
2014-4-4,14.15
2014-4-7,13.83
2014-4-8,14.36
2014-4-9,14.46
2014-4-10,13.61
2014-4-11,13.59
2014-4-14,13.21
2014-4-15,12.93
2014-4-16,13.27
2014-4-17,13.21
2014-4-21,13.63
2014-4-22,14.58
2014-4-23,13.87
2014-4-24,13.86
2014-4-25,13.32
2014-4-28,13.23
2014-4-29,13.79
2014-4-30,13.86
2014-5-1,13.85
2014-5-2,14.06
2014-5-5,14.44
2014-5-6,13.82
2014-5-7,13.42
2014-5-8,11.91
2014-5-9,12.15
2014-5-12,12.31
2014-5-13,12.68
2014-5-14,12.71
2014-5-15,12.57
2014-5-16,12.77
2014-5-19,13.07
2014-5-20,13.02
2014-5-21,13.3
2014-5-22,13.66
2014-5-23,13.82
2014-5-27,14.1
2014-5-28,14.02
2014-5-29,14.02
2014-5-30,13.85
2014-6-2,13.65
2014-6-3,13.66
2014-6-4,13.6
2014-6-5,13.79
2014-6-6,13.88
2014-6-9,13.69
2014-6-10,13.49
2014-6-11,13.63
2014-6-12,13.57
2014-6-13,13.76
2014-6-16,14.97
2014-6-17,15.44
2014-6-18,15.14
2014-6-19,15.19
2014-6-20,15.31
2014-6-23,15.81
2014-6-24,15.5
2014-6-25,15.79
2014-6-26,15.71
2014-6-27,15.94
2014-6-30,16
2014-7-1,15.98
2014-7-2,15.3
2014-7-3,15.28
2014-7-7,14.84
2014-7-8,14.6
2014-7-9,14.87
2014-7-10,14.63
2014-7-11,14.54
2014-7-14,15.11
2014-7-15,14.64
2014-7-16,14.48
2014-7-17,14.36
2014-7-18,14.67
2014-7-21,14.7
2014-7-22,14.64
2014-7-23,14.83
2014-7-24,14.9
2014-7-25,14.9
2014-7-28,14.99
